list 1 15_16 
long 1 126_3 
limited 1 127_9 
loss 1 58_8 
longer 1 108_18 
less 1 76_3 
leaving 1 102_11 
lightness 1 75_14 
letter 1 40_3 
meal 1 32_8 
medicine 1 87_2 
matters 1 92_8 
met 1 68_11 
message 1 141_14 
lucky 1 58_11 
lovers 1 89_20 
many 1 99_7 
makes 1 40_7 
invention 1 124_16 
issues 1 137_16 
intestines 1 115_9 
kept 1 88_12 
karma 1 54_12 
intellectual 1 122_4 
instruction 1 36_11 
interesting 1 28_14 
interest 1 28_1 
lawyer 1 14_8 
leads 1 56_4 
late 1 134_17 
learned 1 39_6 
learn 1 38_19 
kind 1 140_6 
kids 1 110_11 
large 1 90_5 
label 1 37_6 
others 1 129_1 
overflowing 1 137_2 
other 1 128_11 
pancreatic 1 118_1 
own 1 129_6 
ones 1 28_9 
offered 1 36_6 
order 1 109_16 
opinions 1 129_2 
path 1 56_9 
patient 1 87_7 
past 1 97_5 
peoples 1 128_12 
people 1 122_12 
papers 1 18_17 
paperback 1 136_8 
passed 1 68_7 
part 1 90_6 
money 1 25_5 
multiple 1 46_8 
mirror 1 97_12 
naked 1 104_7 
naively 1 21_19 
midSeventies 1 139_2 
microscope 1 117_4 
miles 1 31_17 
middle 1 16_1 
none 1 86_4 
noise 1 128_17 
notions 1 137_8 
normal 1 38_9 
need 1 99_15 
neat 1 137_4 
needle 1 115_12 
needed 1 87_8 
fellow 1 133_13 
figure 1 24_18 
fell 1 78_1 
film 1 79_4 
fill 1 90_3 
father 1 18_3 
fascinating 1 41_15 
feature 1 79_3 
fear 1 101_11 
following 1 33_6 
fonts 1 46_13 
focus 1 66_3 
freed 1 76_8 
food 1 31_9 
five 1 77_5 
fine 1 118_16 
floor 1 30_16 
fivecent 1 31_5 
except 1 14_12 
expect 1 108_14 
example 1 34_4 
expensive 1 22_6 
expectations 1 101_7 
evening 1 114_10 
escaped 1 123_21 
everythingall 1 101_5 
eventually 1 64_13 
faith 1 88_4 
fall 1 102_4 
failurethese 1 102_1 
farewell 1 141_13 
falling 1 64_17 
face 1 102_8 
external 1 101_6 
failure 1 69_12 
facing 1 120_8 
heaviness 1 75_6 
high 1 18_8 
head 1 87_18 
historical 1 41_1 
hired 1 62_17 
hard 1 59_13 
handcalligraphed 1 37_12 
he 1 134_4 
havent 1 91_19 
impossible 1 51_5 
impression 1 96_17 
idealistic 1 137_1 
inner 1 129_7 
incurable 1 108_9 
hitchhiking 1 140_11 
hit 1 87_14 
honored 1 3_4 
home 1 109_10 
gone 1 66_10 
good 1 32_7 
given 1 1_7 
gotten 1 5_1 
goodbyes 1 112_13 
gets 1 93_5 
friends 1 30_18 
girl 1 15_7 
getting 1 74_11 
guess 1 87_5 
grown 1 60_1 
hadnt 1 86_12 
gut 1 54_9 
graduates 1 13_12 
gradually 1 126_8 
grew 1 62_15 
graduation 1 5_5 
third 1 95_2 
thirtyfive 1 136_10 
thankfully 1 118_13 
together 1 84_2 
throat 1 115_3 
team 1 137_12 
tasting 1 87_1 
temple 1 32_15 
technology 1 82_17 
tried 1 68_19 
try 1 110_7 
trapped 1 128_1 
twenty 1 59_10 
tuition 1 23_6 
touch 1 134_12 
tools 1 137_5 
trap 1 103_17 
town 1 31_19 
spending 1 25_2 
spent 1 23_2 
spaced 1 46_12 
stomach 1 115_6 
stayed 1 10_14 
soon 1 100_5 
somethingyour 1 54_8 
space 1 39_17 
sort 1 136_3 
stumbled 1 33_3 
subtle 1 41_3 
studio 1 79_14 
talented 1 63_6 
taking 1 27_13 
strongly 1 13_4 
stop 1 27_12 
student 1 12_8 
stuck 1 114_17 
whateverbecause 1 54_13 
whenever 1 98_21 
wellworn 1 56_8 
why 1 11_10 
where 1 114_15 
waste 1 127_12 
wasnt 1 30_2 
well 1 64_1 
week 1 32_10 
workingclass 1 22_13 
worlds 1 78_19 
worked 1 59_12 
yourself 1 140_10 
youd 1 110_15 
wished 1 142_12 
wish 1 143_7 
words 1 141_5 
woman 1 78_7 
universities 1 4_1 
unwed 1 12_6 
unexpected 1 16_9 
useful 1 122_1 
us 1 60_7 
type 1 108_4 
two 1 60_5 
under 1 117_2 
typewriters 1 135_11 
waiting 1 15_15 
voice 1 129_8 
wants 1 122_8 
walk 1 31_14 
varying 1 39_13 
value 1 23_14 
visions 1 64_5 
viewed 1 116_19 
quote 1 95_13 
rare 1 117_17 
quite 1 127_4 
reason 1 104_11 
read 1 95_11 
publishing 1 135_4 
publicly 1 65_18 
quit 1 11_8 
purely 1 122_3 
remarkable 1 82_3 
renaissance 1 83_11 
relented 1 19_2 
required 1 27_15 
replaced 1 75_11 
rejected 1 71_12 
refused 1 18_11 
released 1 61_2 
relationship 1 93_2 
popped 1 14_16 
possible 1 112_4 
poetic 1 134_11 
practical 1 43_10 
poster 1 37_4 
periods 1 76_17 
perhaps 1 36_7 
photograph 1 139_18 
personals 1 48_18 
proportionally 1 46_11 
promised 1 19_10 
publication 1 132_9 
public 1 69_11 
previous 1 67_12 
prepare 1 110_1 
pride 1 101_9 
priceless 1 33_15 
serif 1 39_8 
set 1 13_17 
sedated 1 116_7 
seventeen 1 21_9 
seven 1 31_16 
screwing 1 69_3 
scissors 1 135_12 
secondary 1 130_10 
second 1 58_2 
sign 1 18_13 
signed 1 142_2 
sided 1 65_6 
slowly 1 70_6 
slept 1 30_13 
share 1 123_16 
several 1 137_15 
showed 1 107_1 
she 1 12_10 
rooms 1 30_19 
row 1 99_11 
room 1 30_10 
said 1 16_17 
running 1 69_18 
